,Extraverted,Intuitive,Thinking,Judging,Assertive,Age,Math,English,Science,Art,History,SAT,SAT Math,SAT Reading,ACT,ACT English,ACT Math,ACT Reading,ACT Science,0,1,2,3,4,5,6,7,8
0,40,40,60,40,50,17,95.0,95.0,95.0,95.0,95.0,1170.0,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,60,60,40,40,50,16,85.0,70.0,70.0,75.0,65.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,34,72,62,100,51,15,90.0,85.0,85.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,24,38,27,29,31,15,75.0,90.0,70.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,40,60,60,60,50,18,95.0,90.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,40,60,40,40,50,12,90.0,90.0,95.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,39,46,35,81,58,17,95.0,95.0,95.0,92.66666666666667,95.0,1310.0,680.0,630.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,66,52,25,36,39,16,95.0,85.0,75.0,80.0,75.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2,80,39,47,74,21,95.0,95.0,95.0,92.66666666666667,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,35.0,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,75,40,34,61,56,19,95.0,90.0,75.0,95.0,85.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,46,62,58,28,17,16,95.0,95.0,95.0,92.66666666666667,90.0,1400.0,690.0,710.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,52,26,53,33,68,14,95.0,90.0,95.0,92.66666666666667,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,48,33,46,49,69,12,90.0,90.546875,88.18181818181819,92.66666666666667,90.67796610169492,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,61,45,55,63,56,16,95.0,95.0,95.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,29,66,58,58,28,18,95.0,95.0,95.0,92.66666666666667,95.0,1320.0,620.0,700.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,42,61,65,49,54,17,95.0,95.0,95.0,95.0,90.0,1460.0,740.0,720.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,39,36,62,31,69,17,90.0,80.0,80.0,90.0,75.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,53,49,40,61,49,32,95.0,95.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,46,73,34,69,4,12,95.0,85.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19,28,40,47,89,56,16,90.0,95.0,90.0,95.0,95.0,1170.0,550.0,620.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,78,12,68,49,85,14,95.0,95.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21,41,11,64,74,42,18,90.0,80.0,80.0,90.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,43,40,53,69,39,15,95.0,90.0,95.0,92.66666666666667,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,42,61,40,42,36,22,95.0,95.0,90.0,92.66666666666667,90.67796610169492,1450.0,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,38,76,43,49,29,23,60.0,90.0,60.0,75.0,75.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,60,54,43,58,43,54,90.0,90.0,85.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,24.0,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,35,56,36,49,42,16,95.0,90.0,80.0,95.0,90.67796610169492,1250.0,550.0,700.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,47,23,52,88,53,50,95.0,90.0,85.0,90.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,47,23,52,88,53,14,95.0,95.0,95.0,92.66666666666667,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,16,43,48,28,21,15,85.0,95.0,95.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
30,53,36,57,43,36,21,90.0,95.0,75.0,92.66666666666667,85.0,1218.5714285714287,597.0588235294117,625.2941176470588,26.0,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
31,0,49,54,33,43,15,90.0,90.0,90.0,90.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,66,31,55,47,64,15,85.0,90.0,85.0,92.66666666666667,85.0,1010.0,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,59,31,44,28,18,15,85.0,85.0,85.0,92.66666666666667,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34,31,41,52,92,49,18,95.0,95.0,95.0,95.0,95.0,1110.0,540.0,570.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,40,40,40,60,50,20,90.0,95.0,95.0,90.0,90.0,1060.0,640.0,420.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,77,49,12,82,35,20,80.0,95.0,80.0,95.0,95.0,1200.0,600.0,600.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
37,47,74,30,49,42,26,75.0,90.0,80.0,85.0,80.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,68,37,55,53,54,17,65.0,75.0,80.0,92.66666666666667,90.0,840.0,440.0,440.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,25,59,82,86,79,16,95.0,90.0,95.0,92.66666666666667,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,59,49,23,49,39,14,80.0,95.0,90.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
41,39,68,61,42,32,17,95.0,95.0,95.0,95.0,95.0,1220.0,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
42,73,48,40,32,47,17,85.0,95.0,85.0,95.0,90.67796610169492,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,46,51,32,81,18,17,90.0,90.0,90.0,90.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
44,78,52,30,18,29,15,90.0,90.546875,85.0,92.66666666666667,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,16,76,47,44,36,23,90.0,95.0,65.0,92.66666666666667,85.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,41,56,37,60,32,24,75.0,90.0,85.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,24,72,65,69,60,15,90.0,95.0,95.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,2,19,71,40,75,15,70.0,90.0,90.0,95.0,90.67796610169492,980.0,520.0,460.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,18,36,40,51,57,47,85.0,90.0,80.0,92.66666666666667,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,64,33,68,25,86,17,85.0,95.0,85.0,92.66666666666667,90.0,1300.0,590.0,710.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,10,86,37,78,31,14,85.0,90.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,64,34,48,25,46,14,89.46153846153847,90.546875,80.0,92.66666666666667,90.67796610169492,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
53,35,56,36,49,42,16,95.0,90.0,80.0,95.0,90.67796610169492,1250.0,550.0,700.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,13,6,69,78,54,15,90.0,80.0,95.0,92.66666666666667,95.0,1070.0,440.0,630.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,24,68,61,39,26,18,95.0,65.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,68,30,25,43,17,16,85.0,85.0,85.0,95.0,80.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,54,33,72,64,56,44,95.0,95.0,95.0,95.0,95.0,1470.0,670.0,800.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,14,17,78,99,58,42,95.0,95.0,90.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,38,58,58,31,35,15,90.0,90.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,42,74,41,54,65,47,95.0,95.0,90.0,90.0,95.0,1460.0,740.0,720.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,75,38,29,61,76,73,90.0,95.0,95.0,90.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,29,61,75,76,89,73,95.0,95.0,95.0,92.66666666666667,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,49,77,36,69,58,14,89.46153846153847,95.0,95.0,95.0,95.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
64,81,55,41,32,18,14,90.0,90.0,95.0,95.0,90.0,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65,43,37,34,36,49,15,95.0,90.0,95.0,95.0,95.0,1090.0,590.0,500.0,28.333333333333332,36.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
66,41,40,55,61,65,48,95.0,95.0,95.0,92.66666666666667,90.67796610169492,1218.5714285714287,597.0588235294117,625.2941176470588,28.333333333333332,36.0,35.0,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
