Extraverted,Intuitive,Thinking,Judging,Assertive,Math,English,Science,Art,History,SAT,SAT Math,SAT Reading,,ACT,ACT English,ACT Math,ACT Reading,ACT Science,Age,School Year,Sex
40,40,60,40,50,95,95,95,95,95,1170,,,,,,,,,17,11,1
60,60,40,40,50,85,70,70,75,65,,,,,,,,,,16,11,1
34,72,62,100,51,90,85,85,95,90,,,,,,,,,,15,10,2
24,38,27,29,31,75,90,70,95,95,,,,,,,,,,15,10,2
40,60,60,60,50,95,90,95,95,95,,,,,,,,,,18,13,2
40,60,40,40,50,90,90,95,95,90,,,,,,,,,,12,7,2
39,46,35,81,58,95,95,95,,95,1310,680,630,,,,,,,17,12,1
66,52,25,36,39,95,85,75,80,75,,,,,,,,,,16,11,1
2,80,39,47,74,95,95,95,,95,,,,,35,36,35,35,35,21,13,2
75,40,34,61,56,95,90,75,95,85,,,,,,,,,,19,13,1
46,62,58,28,17,95,95,95,,90,1400,690,710,,,,,,,16,11,1
52,26,53,33,68,95,90,95,,95,,,,,,,,,,14,8,1
48,33,46,49,69,90,90,,,,,,,,,,,,,12,7,2
61,45,55,63,56,95,95,95,95,90,,,,,,,,,,16,10,1
29,66,58,58,28,95,95,95,,95,1320,620,700,,,,,,,18,12,2
42,61,65,49,54,95,95,95,95,90,1460,740,720,,,,,,,17,11,1
39,36,62,31,69,90,80,80,90,75,,,,,,,,,,17,11,1
53,49,40,61,49,95,95,95,95,95,,,,,,,,,,32,14,1
46,73,34,69,4,95,85,95,95,95,,,,,,,,,,12,7,1
28,40,47,89,56,90,95,90,95,95,1170,550,620,,,,,,,16,11,2
78,12,68,49,85,95,95,95,95,95,,,,,,,,,,14,9,2
41,11,64,74,42,90,80,80,90,95,,,,,,,,,,18,12,1
43,40,53,69,39,95,90,95,,90,,,,,,,,,,15,9,1
42,61,40,42,36,95,95,90,,,1450,,,,,,,,,22,13,2
38,76,43,49,29,60,90,60,75,75,,,,,,,,,,23,14,2
60,54,43,58,43,90,90,85,95,90,,,,,24,,,,,54,14,2
35,56,36,49,42,95,90,80,95,,1250,550,700,,,,,,,16,11,1
47,23,52,88,53,95,90,85,90,90,,,,,,,,,,50,14,2
47,23,52,88,53,95,95,95,,90,,,,,,,,,,14,9,1
16,43,48,28,21,85,95,95,95,90,,,,,,,,,,15,9,2
53,36,57,43,36,90,95,75,,85,,,,,26,,,,,21,13,2
0,49,54,33,43,90,90,90,90,90,,,,,,,,,,15,10,2
66,31,55,47,64,85,90,85,,85,1010,,,,,,,,,15,10,1
59,31,44,28,18,85,85,85,,90,,,,,,,,,,15,9,2
31,41,52,92,49,95,95,95,95,95,1110,540,570,,,,,,,18,12,1
40,40,40,60,50,90,95,95,90,90,1060,640,420,,,,,,,20,13,2
77,49,12,82,35,80,95,80,95,95,1200,600,600,,,,,,,20,13,2
47,74,30,49,42,75,90,80,85,80,,,,,,,,,,26,14,1
68,37,55,53,54,65,75,80,,90,840,440,440,,,,,,,17,11,1
25,59,82,86,79,95,90,95,,95,,,,,,,,,,16,10,2
59,49,23,49,39,80,95,90,95,95,,,,,,,,,,14,9,2
39,68,61,42,32,95,95,95,95,95,1220,,,,,,,,,17,12,2
73,48,40,32,47,85,95,85,95,,,,,,,,,,,17,12,2
46,51,32,81,18,90,90,90,90,95,,,,,,,,,,17,12,2
78,52,30,18,29,90,85,85,,90,,,,,,,,,,15,10,2
16,76,47,44,36,90,95,65,,85,,,,,,,,,,23,14,2
41,56,37,60,32,75,90,85,95,95,,,,,,,,,,24,14,2
24,72,65,69,60,90,95,95,95,90,,,,,,,,,,15,10,2
2,19,71,40,75,70,90,90,95,,980,520,460,,,,,,,15,9,1
18,36,40,51,57,85,90,80,,95,,,,,,,,,,47,14,2
64,33,68,25,86,85,95,85,,90,1300,590,710,,,,,,,17,11,1
10,86,37,78,31,85,90,95,95,95,,,,,,,,,,14,9,1
64,34,48,25,46,80,80,80,,,,,,,,,,,,14,9,1
35,56,36,49,42,95,90,80,95,,1250,550,700,,,,,,,16,11,1
13,6,69,78,54,90,80,95,,95,1070,440,630,,,,,,,15,9,1
24,68,61,39,26,95,65,95,95,95,,,,,,,,,,18,11,2
68,30,25,43,17,85,85,85,95,80,,,,,,,,,,16,10,2
54,33,72,64,56,95,95,95,95,95,1470,670,800,,,,,,,44,14,1
14,17,78,99,58,95,95,90,95,95,,,,,,,,,,42,14,2
38,58,58,31,35,90,90,95,95,95,,,,,,,,,,15,10,2
42,74,41,54,65,95,95,90,90,95,1460,740,720,,,,,,,47,14,2
75,38,29,61,76,90,95,95,90,95,,,,,,,,,,73,14,2
29,61,75,76,89,95,95,95,,90,,,,,,,,,,73,14,1
49,77,36,69,58,95,95,95,95,95,,,,,,,,,,14,8,1
81,55,41,32,18,90,90,95,95,90,,,,,,,,,,14,10,2
43,37,34,36,49,95,90,95,95,95,1090,590,500,,,,,,,15,9,2
41,40,55,61,65,95,95,95,,,,,,,,,,,,48,14,2
